ImageNumber	ObjectNumber	Children_Cells_Count	Children_PLA_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number
1	1	1	0	39.11734693877551	2.7448979591836733	0	1
1	2	1	1	210.10714285714286	4.214285714285714	0	2
1	3	1	0	318.8913480885312	6.388329979879276	0	3
1	4	1	0	383.68811881188117	5.158415841584159	0	4
1	5	1	0	493.33126550868485	10.833746898263028	0	5
1	6	1	0	2.597560975609756	5.658536585365853	0	6
1	7	1	2	129.79710144927537	7.904347826086957	0	7
1	8	1	0	244.34639175257732	11.144329896907216	0	8
1	9	1	0	17.436482084690553	15.384364820846905	0	9
1	10	1	0	412.22877358490564	21.92924528301887	0	10
1	11	1	0	183.13725490196077	24.51260504201681	0	11
1	12	1	1	71.23035230352303	25.441734417344172	0	12
1	13	1	0	3.9383561643835616	32.773972602739725	0	13
1	14	1	0	500.52127659574467	32.40425531914894	0	14
1	15	1	0	446.22727272727275	37.3125	0	15
1	16	1	0	461.9016393442623	39.021857923497265	0	16
1	17	1	0	299.23349056603774	39.26650943396226	0	17
1	18	1	0	193.65882352941176	41.96470588235294	0	18
1	19	1	2	360.39044943820227	41.609550561797754	0	19
1	20	1	0	507.99056603773585	42.22641509433962	0	20
1	21	1	1	122.82710280373831	44.39252336448598	0	21
1	22	1	0	250.8181818181818	51.26262626262626	0	22
1	23	1	0	186.3846153846154	53.202429149797574	0	23
1	24	1	0	263.6930693069307	53.23762376237624	0	24
1	25	1	1	46.05172413793103	53.201149425287355	0	25
1	26	1	0	3.702127659574468	53.6063829787234	0	26
1	27	1	0	112.55474452554745	56.89051094890511	0	27
1	28	1	9	22.10909090909091	57.54909090909091	0	28
1	29	1	0	487.34317343173433	60.3690036900369	0	29
1	30	1	0	403.51798561151077	57.13669064748201	0	30
1	31	1	0	135.31313131313132	58.64646464646464	0	31
1	32	1	1	348.2433628318584	60.99778761061947	0	32
1	33	1	0	508.0388349514563	62.84466019417476	0	33
1	34	1	0	126.49333333333334	64.70666666666666	0	34
1	35	1	0	268.27685950413223	65.10330578512396	0	35
1	36	1	0	174.30839002267572	69.18820861678005	0	36
1	37	1	7	92.8529411764706	69.81699346405229	0	37
1	38	1	0	261.5390625	75.55078125	0	38
1	39	1	0	3.8210526315789473	77.2421052631579	0	39
1	40	1	3	224.2059800664452	81.4485049833887	0	40
1	41	1	0	175.27358490566039	84.95283018867924	0	41
1	42	1	0	358.2696629213483	88.98876404494382	0	42
1	43	1	0	192.51944444444445	91.11944444444444	0	43
1	44	1	0	312.35689045936397	92.31802120141343	0	44
1	45	1	0	43.74366197183099	91.54929577464789	0	45
1	46	1	0	121.02033898305085	93.71525423728814	0	46
1	47	1	0	482.10714285714283	93.07619047619048	0	47
1	48	1	3	254.95564516129033	91.98790322580645	0	48
1	49	1	0	438.1140142517815	90.73871733966746	0	49
1	50	1	1	65.76515151515152	93.6489898989899	0	50
1	51	1	0	409.6338797814208	94.8360655737705	0	51
1	52	1	19	229.75527426160338	99.59493670886076	0	52
1	53	1	1	7.9541984732824424	103.06106870229007	0	53
1	54	1	1	367.4268292682927	101.09756097560975	0	54
1	55	1	0	392.05362776025237	98.28391167192429	0	55
1	56	1	0	500.7957317073171	109.375	0	56
1	57	1	0	156.62452107279694	115.69348659003832	0	57
1	58	1	2	261.6025641025641	118.12820512820512	0	58
1	59	1	0	374.5165562913907	117.18543046357615	0	59
1	60	1	1	178.1004366812227	118.0	0	60
1	61	1	1	429.51977401129943	121.2909604519774	0	61
1	62	1	0	231.17525773195877	120.06872852233677	0	62
1	63	1	0	341.6043165467626	123.25539568345324	0	63
1	64	1	2	312.3103448275862	122.4704433497537	0	64
1	65	1	1	103.44630872483222	124.97651006711409	0	65
1	66	1	0	215.79891304347825	124.75	0	66
1	67	1	1	452.6150627615063	121.84518828451883	0	67
1	68	1	1	26.967413441955195	130.122199592668	0	68
1	69	1	0	243.40522875816993	134.13398692810458	0	69
1	70	1	0	397.3618784530387	135.84254143646407	0	70
1	71	1	0	501.4925053533191	135.34689507494647	0	71
1	72	1	0	171.04232804232805	136.68253968253967	0	72
1	73	1	0	278.3617886178862	138.3780487804878	0	73
1	74	1	4	446.734375	141.74107142857142	0	74
1	75	1	0	111.96135265700484	141.1304347826087	0	75
1	76	1	1	210.04469273743015	142.89385474860336	0	76
1	77	1	1	151.95808383233532	148.37125748502993	0	77
1	78	1	0	96.97909407665506	149.14285714285714	0	78
1	79	1	0	331.73762376237624	152.87128712871288	0	79
1	80	1	1	252.06382978723406	155.79787234042553	0	80
1	81	1	2	288.30384615384617	155.2846153846154	0	81
1	82	1	0	199.8566176470588	159.29779411764707	0	82
1	83	1	8	366.59589041095893	156.3173515981735	0	83
1	84	1	1	436.29741379310343	158.81896551724137	0	84
1	85	1	1	231.932	161.772	0	85
1	86	1	0	460.921875	160.8203125	0	86
1	87	1	1	46.380246913580244	160.11604938271606	0	87
1	88	1	0	131.32044198895028	160.48066298342542	0	88
1	89	1	1	312.646875	164.196875	0	89
1	90	1	0	380.5493975903614	169.43132530120482	0	90
1	91	1	41	419.3727272727273	166.08636363636364	0	91
1	92	1	0	484.21410579345087	168.9345088161209	0	92
1	93	1	1	104.082	175.216	0	93
1	94	1	1	19.7409200968523	176.8232445520581	0	94
1	95	1	34	348.73556797020484	174.71322160148975	0	95
1	96	1	1	255.27436823104694	182.19494584837545	0	96
1	97	1	1	51.12971698113208	183.88443396226415	0	97
1	98	1	1	120.33668341708542	184.95979899497488	0	98
1	99	1	0	395.29545454545456	188.0568181818182	0	99
1	100	1	0	280.8630573248408	189.04777070063693	0	100
1	101	1	3	194.20845921450152	189.92447129909365	0	101
1	102	1	5	345.29041916167665	192.4431137724551	0	102
1	103	1	0	3.3405797101449277	193.43478260869566	0	103
1	104	1	0	232.16296296296295	195.36666666666667	0	104
1	105	1	0	473.60289855072466	195.8753623188406	0	105
1	106	1	0	323.5920245398773	194.7116564417178	0	106
1	107	1	0	410.61168384879727	195.84192439862542	0	107
1	108	1	0	59.461988304093566	202.74269005847952	0	108
1	109	1	0	216.34798534798534	201.6849816849817	0	109
1	110	1	1	418.1312649164678	208.5513126491647	0	110
1	111	1	3	37.265060240963855	209.57530120481928	0	111
1	112	1	2	135.80701754385964	212.67763157894737	0	112
1	113	1	2	304.17922077922077	214.15584415584416	0	113
1	114	1	0	68.1594982078853	218.14336917562724	0	114
1	115	1	0	273.0756578947368	221.95394736842104	0	115
1	116	1	1	434.19114688128775	222.61569416498995	0	116
1	117	1	0	128.35384615384615	227.14615384615385	0	117
1	118	1	0	367.1925925925926	229.17037037037036	0	118
1	119	1	1	229.64502164502164	231.35930735930737	0	119
1	120	1	1	54.358662613981764	234.93920972644378	0	120
1	121	1	1	324.63945578231295	239.96145124716554	0	121
1	122	1	0	343.77142857142854	236.54285714285714	0	122
1	123	1	1	141.98773006134968	239.50306748466258	0	123
1	124	1	2	209.72674418604652	240.53197674418604	0	124
1	125	1	0	91.82513661202186	240.51092896174865	0	125
1	126	1	0	282.2212389380531	241.86725663716814	0	126
1	127	1	0	270.9478827361564	248.75895765472313	0	127
1	128	1	0	51.234432234432234	250.66666666666666	0	128
1	129	1	0	74.88461538461539	248.17032967032966	0	129
1	130	1	0	293.74564459930315	249.6829268292683	0	130
1	131	1	1	24.72822299651568	251.93031358885017	0	131
1	132	1	0	350.211970074813	252.09476309226932	0	132
1	133	1	0	3.1485148514851486	253.6138613861386	0	133
1	134	1	0	484.5444305381727	255.97371714643305	0	134
1	135	1	1	397.9221105527638	255.10552763819095	0	135
1	136	1	0	112.27062706270627	257.63696369636966	0	136
1	137	1	0	217.42307692307693	258.6818181818182	0	137
1	138	1	2	420.29675810473816	259.8528678304239	0	138
1	139	1	0	61.23952095808383	266.9341317365269	0	139
1	140	1	0	175.48504983388705	267.4784053156146	0	140
1	141	1	0	34.5030487804878	270.4878048780488	0	141
1	142	1	0	7.750853242320819	273.61092150170646	0	142
1	143	1	2	356.0176056338028	272.8380281690141	0	143
1	144	1	1	502.7671232876712	272.8835616438356	0	144
1	145	1	8	319.6741573033708	278.2958801498127	0	145
1	146	1	0	386.62717770034845	280.2020905923345	0	146
1	147	1	5	261.44375	279.48125	0	147
1	148	1	0	70.60615384615384	286.24615384615385	0	148
1	149	1	0	197.25597269624572	285.6279863481229	0	149
1	150	1	1	373.6749116607774	287.56890459363956	0	150
1	151	1	3	269.713567839196	289.38693467336685	0	151
1	152	1	0	56.407407407407405	290.4708994708995	0	152
1	153	1	1	7.0588235294117645	293.5450980392157	0	153
1	154	1	0	424.35081967213114	298.7770491803279	0	154
1	155	1	1	230.424317617866	301.6004962779156	0	155
1	156	1	0	50.174041297935105	303.00294985250736	0	156
1	157	1	0	128.79881656804733	307.4852071005917	0	157
1	158	1	1	194.25988700564972	306.638418079096	0	158
1	159	1	0	78.93167701863354	316.5496894409938	0	159
1	160	1	0	341.16608996539793	317.7520184544406	0	160
1	161	1	10	371.7029288702929	322.58995815899584	0	161
1	162	1	1	168.32601880877743	323.8557993730407	0	162
1	163	1	9	20.859232175502743	325.34552102376597	0	163
1	164	1	2	284.64606741573033	328.1629213483146	0	164
1	165	1	0	501.77292576419217	328.117903930131	0	165
1	166	1	0	242.73417721518987	332.8818565400844	0	166
1	167	1	0	411.4	332.968	0	167
1	168	1	20	272.36140350877196	338.18947368421055	0	168
1	169	1	0	400.340206185567	337.25773195876286	0	169
1	170	1	0	459.3093220338983	335.6906779661017	0	170
1	171	1	0	351.31654676258995	341.31654676258995	0	171
1	172	1	0	129.23076923076923	342.7320954907162	0	172
1	173	1	0	361.62931034482756	345.1551724137931	0	173
1	174	1	0	492.45283018867923	347.9496855345912	0	174
1	175	1	0	208.33839479392626	349.2581344902386	0	175
1	176	1	0	445.027397260274	351.5570776255708	0	176
1	177	1	0	144.89411764705883	351.81176470588235	0	177
1	178	1	9	280.1313131313131	353.5050505050505	0	178
1	179	1	1	76.29538461538462	355.28923076923076	0	179
1	180	1	0	335.09082813891365	357.8138913624221	0	180
1	181	1	0	181.47727272727272	364.24242424242425	0	181
1	182	1	0	268.78393351800554	364.9556786703601	0	182
1	183	1	0	411.2118959107807	366.92936802973975	0	183
1	184	1	1	453.5450450450451	368.5855855855856	0	184
1	185	1	0	477.3255813953488	369.63255813953486	0	185
1	186	1	1	500.41509433962267	367.24905660377357	0	186
1	187	1	5	105.15130023640661	373.02364066193854	0	187
1	188	1	0	153.15503875968992	381.6589147286822	0	188
1	189	1	0	508.8333333333333	380.6222222222222	0	189
1	190	1	0	495.01880877742946	389.66457680250784	0	190
1	191	1	0	418.78142076502735	387.8688524590164	0	191
1	192	1	1	42.505226480836235	392.588850174216	0	192
1	193	1	2	458.17317073170733	395.4756097560976	0	193
1	194	1	0	236.40397350993376	398.0044150110375	0	194
1	195	1	0	118.6441717791411	397.12576687116564	0	195
1	196	1	0	201.66404199475065	398.16272965879267	0	196
1	197	1	0	378.68589743589746	399.37820512820514	0	197
1	198	1	0	357.89256198347107	401.6694214876033	0	198
1	199	1	0	5.917695473251029	402.238683127572	0	199
1	200	1	0	147.8421052631579	406.2493074792244	0	200
1	201	1	0	306.4186046511628	409.1831395348837	0	201
1	202	1	9	449.05105105105105	414.45645645645646	0	202
1	203	1	2	498.6673228346457	411.17913385826773	0	203
1	204	1	0	397.1666666666667	411.6722222222222	0	204
1	205	1	0	62.80503144654088	414.5880503144654	0	205
1	206	1	0	262.4356846473029	415.3900414937759	0	206
1	207	1	0	281.80212014134275	418.41696113074204	0	207
1	208	1	1	26.036619718309858	418.3887323943662	0	208
1	209	1	2	152.9375	423.2708333333333	0	209
1	210	1	0	191.05737704918033	421.3551912568306	0	210
1	211	1	1	405.0598958333333	428.8567708333333	0	211
1	212	1	0	80.05637982195846	427.45697329376856	0	212
1	213	1	0	166.6797583081571	429.36253776435046	0	213
1	214	1	0	64.79787234042553	432.1489361702128	0	214
1	215	1	1	300.2685512367491	431.85159010600705	0	215
1	216	1	0	503.2352941176471	435.3267973856209	0	216
1	217	1	0	211.46420824295012	436.76138828633407	0	217
1	218	1	0	350.26701570680626	437.7303664921466	0	218
1	219	1	9	17.31111111111111	440.1644444444444	0	219
1	220	1	0	98.54166666666667	443.25	0	220
1	221	1	0	373.66766467065867	443.73952095808386	0	221
1	222	1	0	473.3557692307692	446.40384615384613	0	222
1	223	1	0	4.537313432835821	448.85074626865674	0	223
1	224	1	0	41.54295532646048	444.8109965635739	0	224
1	225	1	0	258.5561224489796	454.8673469387755	0	225
1	226	1	0	133.18548387096774	457.0282258064516	0	226
1	227	1	2	105.85623003194888	460.8913738019169	0	227
1	228	1	19	433.0223880597015	459.07089552238807	0	228
1	229	1	0	332.65644171779144	465.5	0	229
1	230	1	0	477.0432098765432	465.9938271604938	0	230
1	231	1	0	504.36942675159236	465.54777070063693	0	231
1	232	1	0	223.59351620947632	468.1296758104738	0	232
1	233	1	0	457.76	468.416	0	233
1	234	1	0	178.81472684085512	472.71971496437055	0	234
1	235	1	0	17.28151986183074	473.26943005181346	0	235
1	236	1	0	126.31683168316832	488.519801980198	0	236
1	237	1	0	86.67637540453075	491.0064724919094	0	237
1	238	1	0	260.9708994708995	489.25396825396825	0	238
1	239	1	0	230.04312668463612	491.8787061994609	0	239
1	240	1	0	402.9684210526316	495.62105263157895	0	240
1	241	1	1	416.49184782608694	495.6657608695652	0	241
1	242	1	0	340.92287234042556	494.01063829787233	0	242
1	243	1	0	487.76229508196724	497.3688524590164	0	243
1	244	1	0	173.8125	497.3208333333333	0	244
1	245	1	0	47.545138888888886	500.8611111111111	0	245
1	246	1	0	299.880174291939	500.57080610021785	0	246
1	247	1	1	376.1119402985075	502.71268656716416	0	247
1	248	1	0	390.4419642857143	502.64732142857144	0	248
1	249	1	0	190.28996282527882	503.4498141263941	0	249
1	250	1	0	279.52127659574467	503.6914893617021	0	250
1	251	1	0	13.43558282208589	507.04294478527606	0	251
1	252	1	0	342.1034482758621	507.9103448275862	0	252
1	253	1	0	456.3803680981595	506.90184049079755	0	253
1	254	1	0	475.7557603686636	505.5806451612903	0	254
1	255	1	1	503.6666666666667	507.53333333333336	0	255
2	1	1	2	61.651162790697676	2.8217054263565893	0	1
2	2	1	2	27.418141592920353	18.946902654867255	0	2
2	3	1	2	136.85211267605635	24.904929577464788	0	3
2	4	1	5	47.563559322033896	32.41101694915254	0	4
2	5	1	1	212.4742268041237	37.36426116838488	0	5
2	6	1	2	80.47191011235955	44.453183520599254	0	6
2	7	1	0	185.33098591549296	45.859154929577464	0	7
2	8	1	0	360.50597609561754	47.44223107569721	0	8
2	9	1	1	84.25260416666667	75.02864583333333	0	9
2	10	1	4	176.5888888888889	78.54444444444445	0	10
2	11	1	2	57.59271523178808	86.80794701986756	0	11
2	12	1	3	148.58223684210526	92.17763157894737	0	12
2	13	1	3	124.09765625	92.90625	0	13
2	14	1	2	20.40821917808219	95.17260273972603	0	14
2	15	1	3	103.90710382513662	100.60109289617486	0	15
2	16	1	2	164.62181818181818	107.22909090909091	0	16
2	17	1	2	85.44810126582279	109.50886075949367	0	17
2	18	1	5	213.72893772893772	111.86080586080585	0	18
2	19	1	1	192.3248730964467	123.25380710659898	0	19
2	20	1	1	96.46546546546547	127.56756756756756	0	20
2	21	1	1	3.5961538461538463	125.07692307692308	0	21
2	22	1	0	110.01818181818182	131.36363636363637	0	22
2	23	1	0	43.67801047120419	137.44502617801047	0	23
2	24	1	2	296.85955056179773	136.6011235955056	0	24
2	25	1	3	287.35042735042737	142.6239316239316	0	25
2	26	1	0	156.0	148.46058091286307	0	26
2	27	1	0	127.67272727272727	154.00454545454545	0	27
2	28	1	1	59.40425531914894	151.04255319148936	0	28
2	29	1	1	293.98148148148147	155.44907407407408	0	29
2	30	1	0	16.918088737201366	159.39931740614335	0	30
2	31	1	0	174.0859375	158.75	0	31
2	32	1	0	341.9010989010989	161.4065934065934	0	32
2	33	1	6	119.65471698113207	174.00754716981132	0	33
2	34	1	9	489.99056603773585	173.16666666666666	0	34
2	35	1	0	366.7427385892116	175.60165975103735	0	35
2	36	1	5	47.42553191489362	191.3049645390071	0	36
2	37	1	2	99.19421487603306	193.3181818181818	0	37
2	38	1	0	475.86281588447656	192.4476534296029	0	38
2	39	1	0	459.2519083969466	200.9885496183206	0	39
2	40	1	0	380.2413793103448	202.52586206896552	0	40
2	41	1	1	3.3771428571428572	205.31428571428572	0	41
2	42	1	57	32.996	214.884	0	42
2	43	1	11	54.6764705882353	216.55882352941177	0	43
2	44	1	3	370.50204081632654	216.534693877551	0	44
2	45	1	7	182.96153846153845	216.8397435897436	0	45
2	46	1	5	331.8269230769231	223.35576923076923	0	46
2	47	1	0	67.43511450381679	223.32824427480915	0	47
2	48	1	1	150.03333333333333	226.08095238095237	0	48
2	49	1	2	173.95454545454547	233.21875	0	49
2	50	1	0	40.96551724137931	237.29885057471265	0	50
2	51	1	4	15.892744479495269	243.21451104100947	0	51
2	52	1	3	54.16339869281046	246.90849673202615	0	52
2	53	1	0	357.97682119205297	246.76490066225165	0	53
2	54	1	2	449.36507936507934	247.79365079365078	0	54
2	55	1	0	374.64028776978415	252.31654676258992	0	55
2	56	1	2	398.8233082706767	253.1578947368421	0	56
2	57	1	0	91.72272727272727	253.5818181818182	0	57
2	58	1	1	227.7750472589792	249.92060491493385	0	58
2	59	1	3	169.32804232804233	257.8095238095238	0	59
2	60	1	0	423.22962962962964	257.3037037037037	0	60
2	61	1	0	495.64069264069263	256.995670995671	0	61
