ImageNumber	ObjectNumber	Children_PLA_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Nuclei
1	1	2	24.679738562091504	14.793300653594772	0	1	1
1	2	0	87.95019920318725	4.701195219123506	0	2	2
1	3	0	185.9561403508772	5.782894736842105	0	3	3
1	4	0	404.6434108527132	9.660206718346254	0	4	4
1	5	0	349.81140350877195	14.17251461988304	0	5	5
1	6	0	470.86134969325155	11.10920245398773	0	6	6
1	7	1	237.75830564784053	16.296511627906977	0	7	7
1	8	2	139.09948032665181	12.503340757238307	0	8	8
1	9	0	206.81322505800463	17.709976798143853	0	9	9
1	10	0	425.4688524590164	28.05655737704918	0	10	10
1	11	0	447.17593790426906	22.566623544631305	0	11	11
1	12	0	89.56928508384819	23.101500441306268	0	12	12
1	13	0	312.2670349907919	17.44659300184162	0	13	13
1	14	1	491.69140625	27.5634765625	0	14	14
1	15	5	134.92079207920793	35.43234323432343	0	15	15
1	16	1	193.25557620817844	35.70724907063197	0	16	16
1	17	1	50.467808930425754	39.07165109034268	0	17	17
1	18	0	331.3486381322957	46.87937743190661	0	18	18
1	19	0	500.7	51.806666666666665	0	19	19
1	20	0	295.7262021589794	42.599607458292446	0	20	20
1	21	0	266.28196147110333	35.12434325744308	0	21	21
1	22	4	106.97346368715084	47.427374301675975	0	22	22
1	23	0	468.86133768352363	42.90538336052202	0	23	23
1	24	0	450.9654528478058	61.337068160597575	0	24	24
1	25	3	253.8389760528489	62.84723369116433	0	25	25
1	26	0	386.61660978384526	55.039817974971555	0	26	26
1	27	2	186.1526132404181	58.84529616724738	0	27	27
1	28	3	129.76396648044692	66.2108938547486	0	28	28
1	29	0	79.10977157360406	66.04568527918782	0	29	29
1	30	1	292.42108262108263	78.73219373219374	0	30	30
1	31	0	207.92013129102844	83.43380743982495	0	31	31
1	32	0	474.8447773616313	90.18518518518519	0	32	32
1	33	0	94.08665008291874	106.70812603648424	0	33	33
1	34	1	374.90010090817356	104.38496468213926	0	34	34
1	35	1	413.6104707012488	111.82708933717579	0	35	35
1	36	2	271.0780711825488	119.31630309988519	0	36	36
1	37	0	241.14909090909092	141.12207792207792	0	37	37
1	38	1	361.1068849301878	145.82667308618198	0	38	38
1	39	1	203.94615021256496	146.8852149267832	0	39	39
1	40	16	307.6696212731668	137.3102336825141	0	40	40
1	41	0	10.629750271444083	154.4158523344191	0	41	41
1	42	0	437.32390631904553	155.39681838267785	0	42	42
1	43	0	491.28138323069635	157.5973472288015	0	43	43
1	44	0	279.68028419182946	166.37833037300177	0	44	44
1	45	1	317.9230769230769	165.82875457875457	0	45	45
1	46	1	167.0054780876494	166.3894422310757	0	46	46
1	47	1	346.0559295701709	186.03521491455206	0	47	47
1	48	0	409.92039355992847	190.3000894454383	0	48	48
1	49	0	62.598930481283425	193.8139037433155	0	49	49
1	50	1	154.98100922409117	204.415626695605	0	50	50
1	51	2	455.5129166666667	213.89125	0	51	51
1	52	2	229.83461538461538	218.60288461538462	0	52	52
1	53	3	266.4933259176863	218.10289210233591	0	53	53
1	54	1	296.53073029645697	220.13232104121474	0	54	54
1	55	2	43.513103448275864	225.73885057471264	0	55	55
1	56	1	9.81081081081081	228.33530405405406	0	56	56
1	57	1	331.6780854059127	228.76161426560301	0	57	57
1	58	3	382.4037392622537	228.0712481051036	0	58	58
1	59	0	190.16481563749446	232.35406486006218	0	59	59
1	60	0	135.35259834871297	242.2792617775619	0	60	60
1	61	0	89.50705697856769	257.18975431259804	0	61	61
1	62	1	417.59756742464305	264.77525118984664	0	62	62
1	63	0	378.1790940766551	269.09547038327526	0	63	63
1	64	1	45.97145822522055	271.20186818889465	0	64	64
1	65	3	308.67870826491514	271.85495347564313	0	65	65
1	66	2	264.0502402795981	274.30755788553955	0	66	66
1	67	0	169.04248861911987	279.2210419828022	0	67	67
1	68	0	112.82465753424657	282.0931506849315	0	68	68
1	69	2	210.17072147651007	294.7361577181208	0	69	69
1	70	1	351.0723465016659	294.29652546406476	0	70	70
