ImageNumber	ObjectNumber	Children_Cells_Count	Children_PLA_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number
1	1	1	0	63.483870967741936	3.411290322580645	0	1
1	2	1	1	127.81311475409836	7.111475409836066	0	2
1	3	1	0	156.24932249322492	5.67479674796748	0	3
1	4	1	0	200.34444444444443	5.9148148148148145	0	4
1	5	1	0	250.43975903614458	6.686746987951807	0	5
1	6	1	0	406.57272727272726	2.1454545454545455	0	6
1	7	1	0	327.3325581395349	8.788372093023256	0	7
1	8	1	19	377.27513227513225	10.346560846560847	0	8
1	9	1	0	277.79229122055676	11.580299785867238	0	9
1	10	1	1	49.51672240802676	16.237458193979933	0	10
1	11	1	1	227.20863309352518	20.083932853717027	0	11
1	12	1	0	472.1888111888112	19.755244755244757	0	12
1	13	1	1	163.26268656716417	21.686567164179106	0	13
1	14	1	0	3.0103092783505154	18.74742268041237	0	14
1	15	1	0	408.4100294985251	25.766961651917406	0	15
1	16	1	0	349.89453125	31.3828125	0	16
1	17	1	1	296.657196969697	28.388257575757574	0	17
1	18	1	0	377.88641425389756	40.224944320712694	0	18
1	19	1	0	108.3882618510158	42.02483069977426	0	19
1	20	1	0	73.04782608695652	41.06521739130435	0	20
1	21	1	0	419.1076388888889	43.03819444444444	0	21
1	22	1	0	217.05070422535212	46.07887323943662	0	22
1	23	1	1	193.90024330900243	47.49148418491484	0	23
1	24	1	17	18.974206349206348	50.62103174603175	0	24
1	25	1	0	364.125	52.357142857142854	0	25
1	26	1	0	79.0965909090909	63.93181818181818	0	26
1	27	1	0	273.1578014184397	67.7517730496454	0	27
1	28	1	0	174.046875	67.33854166666667	0	28
1	29	1	1	14.006993006993007	70.7132867132867	0	29
1	30	1	2	49.86078431372549	71.91764705882353	0	30
1	31	1	0	336.43447037701975	72.87073608617594	0	31
1	32	1	1	138.97635933806146	71.44444444444444	0	32
1	33	1	1	242.5909090909091	78.06818181818181	0	33
1	34	1	1	189.00824175824175	80.12637362637362	0	34
1	35	1	0	221.93409742120343	80.48710601719198	0	35
1	36	1	0	160.88951841359773	82.43626062322946	0	36
1	37	1	0	366.59053497942386	85.0843621399177	0	37
1	38	1	0	482.923487544484	80.75266903914591	0	38
1	39	1	0	421.4852071005917	87.96005917159763	0	39
1	40	1	0	455.7037974683544	95.80253164556962	0	40
1	41	1	1	78.26326963906581	92.92356687898089	0	41
1	42	1	0	29.827683615819208	100.37288135593221	0	42
1	43	1	0	119.74825174825175	98.5081585081585	0	43
1	44	1	0	302.87225548902194	101.55888223552894	0	44
1	45	1	1	75.48571428571428	109.60357142857143	0	45
1	46	1	32	12.608778625954198	113.04961832061069	0	46
1	47	1	0	181.400871459695	113.84313725490196	0	47
1	48	1	0	89.36682242990655	117.6355140186916	0	48
1	49	1	0	272.0789946140036	117.19210053859965	0	49
1	50	1	1	350.5134529147982	122.95515695067265	0	50
1	51	1	1	420.3922261484099	124.35689045936395	0	51
1	52	1	1	204.71138211382114	124.1239837398374	0	52
1	53	1	0	468.272	130.16	0	53
1	54	1	0	483.1883408071749	136.85201793721973	0	54
