ImageNumber	ObjectNumber	Children_PLA_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Nuclei
1	1	0	236.31113320079524	7.140159045725646	0	1	1
1	2	0	108.77272727272727	22.066310160427808	0	2	2
1	3	0	145.25847776940466	18.765636774679727	0	3	3
1	4	0	489.79359430604984	20.126588713777327	0	4	4
1	5	0	427.9736247174077	21.39374529012811	0	5	5
1	6	0	50.97158427403659	23.394706111327366	0	6	6
1	7	0	376.5606372045221	20.717882836587872	0	7	7
1	8	0	176.47349310094407	21.335511982570807	0	8	8
1	9	0	212.27805575411008	28.907791279485348	0	9	9
1	10	0	252.432527693857	37.22255790533736	0	10	10
1	11	0	339.3703893442623	34.89036885245902	0	11	11
1	12	0	292.6201214223764	38.88117953165655	0	12	12
1	13	0	189.52941176470588	60.07983193277311	0	13	13
1	14	0	84.71186440677967	59.44774011299435	0	14	14
1	15	0	467.3780303030303	47.30681818181818	0	15	15
1	16	0	25.489299610894943	63.12305447470817	0	16	16
1	17	0	144.2184317718941	66.19195519348268	0	17	17
1	18	0	379.9619686800895	66.41923937360178	0	18	18
1	19	0	327.3876478318003	71.71090670170828	0	19	19
1	20	0	496.314745308311	78.9769436997319	0	20	20
1	21	0	304.0558412931668	86.92138133725201	0	21	21
1	22	0	423.6923076923077	86.06820512820512	0	22	22
1	23	0	461.6713036565978	92.84658187599364	0	23	23
1	24	0	119.97405966277562	93.8041504539559	0	24	24
1	25	0	53.97067745197169	92.23154701718909	0	25	25
1	26	0	83.58536585365853	95.70731707317073	0	26	26
1	27	0	19.653617021276595	98.54382978723405	0	27	27
1	28	0	174.54446308724832	105.00125838926175	0	28	28
1	29	0	380.4093990058744	108.53637596023498	0	29	29
1	30	0	272.6601466992665	106.0307369891722	0	30	30
1	31	0	232.68242766407903	113.32498235709245	0	31	31
1	32	0	71.40546967895362	121.67419738406659	0	32	32
1	33	0	43.711409395973156	121.92393736017897	0	33	33
1	34	0	101.79422649888971	130.50037009622503	0	34	34
1	35	0	14.49534574468085	135.89228723404256	0	35	35
1	36	0	435.14489896500737	132.8018728437654	0	36	36
1	37	0	133.596449704142	139.15680473372782	0	37	37
1	38	0	356.8702737940026	138.16036505867015	0	38	38
1	39	0	214.7913043478261	144.15652173913043	0	39	39
1	40	0	45.07211538461539	141.7676282051282	0	40	40
1	41	0	169.27523441809157	150.38554881412026	0	41	41
1	42	0	57.89944649446495	162.67158671586716	0	42	42
1	43	0	389.23760623229464	163.03682719546742	0	43	43
1	44	0	299.61577608142494	160.50330788804072	0	44	44
1	45	0	472.99568034557234	171.36933045356372	0	45	45
1	46	0	498.20873362445417	185.32052401746725	0	46	46
1	47	0	444.3934632306725	180.47957259585166	0	47	47
1	48	0	102.35270338554825	179.07983830217282	0	48	48
1	49	0	190.44785615491008	190.01438450899033	0	49	49
1	50	0	414.5156555772994	189.93639921722112	0	50	50
1	51	0	135.5806658130602	197.86747759282972	0	51	51
1	52	0	46.71454977554793	214.4050699762345	0	52	52
