ImageNumber	ObjectNumber	Children_PLA_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Nuclei
1	1	0	397.3406779661017	9.401694915254238	0	1	1
1	2	0	344.9564315352697	6.338174273858921	0	2	2
1	3	0	460.1761363636364	9.514204545454545	0	3	3
1	4	0	285.8047559449312	8.914893617021276	0	4	4
1	5	0	423.49219562955255	19.312174817898022	0	5	5
1	6	0	320.58377659574467	25.43218085106383	0	6	6
1	7	0	376.7297581493165	22.176656151419557	0	7	7
1	8	0	350.6933842239186	24.940203562340965	0	8	8
1	9	0	300.3482142857143	35.139030612244895	0	9	9
1	10	0	466.02335164835165	33.99175824175824	0	10	10
1	11	0	276.6727964489537	42.55231452124286	0	11	11
1	12	0	396.93106457242584	45.10732984293194	0	12	12
1	13	1	344.21946740128556	51.86776859504132	0	13	13
1	14	0	216.35794330916283	48.00131839156229	0	14	14
1	15	0	426.93341869398205	62.07874519846351	0	15	15
1	16	0	457.9284457478006	73.96891495601173	0	16	16
1	17	0	168.89838957055215	71.56326687116564	0	17	17
1	18	0	255.50864197530865	65.92921810699589	0	18	18
1	19	0	373.1384615384615	68.35288461538461	0	19	19
1	20	0	213.12680949623623	84.90156340474812	0	20	20
1	21	0	330.2654088050314	73.68553459119497	0	21	21
1	22	0	405.23818897637796	79.46062992125984	0	22	22
1	23	0	311.0149377593361	80.5701244813278	0	23	23
1	24	0	394.4956369982548	91.62478184991274	0	24	24
1	25	35	355.1661600810537	93.30901722391084	0	25	25
1	26	0	275.9569640062598	95.33176838810641	0	26	26
1	27	0	237.74530271398748	106.10716771050801	0	27	27
1	28	0	388.42944785276075	108.55521472392638	0	28	28
1	29	0	417.57192374350086	109.58752166377816	0	29	29
1	30	0	316.31930246542396	116.7498496692724	0	30	30
1	31	0	450.7178789938817	113.82868796736913	0	31	31
1	32	0	267.55151515151516	125.03636363636363	0	32	32
1	33	1	385.79915433403806	127.17970401691332	0	33	33
1	34	5	357.86173059768066	126.0677966101695	0	34	34
1	35	0	427.2430471584039	137.83736396614268	0	35	35
1	36	0	292.37948084054386	133.672435105068	0	36	36
1	37	0	245.19306930693068	142.27805280528054	0	37	37
1	38	0	386.0916568742656	149.3924794359577	0	38	38
1	39	0	279.34587995930826	158.03763987792473	0	39	39
1	40	0	226.00689655172414	152.43172413793104	0	40	40
1	41	0	338.7104100946372	156.70914826498424	0	41	41
1	42	0	403.94545454545454	168.95324675324676	0	42	42
1	43	0	304.159209157128	168.14568158168575	0	43	43
1	44	0	372.64307381193123	174.16986855409505	0	44	44
1	45	0	441.09902200489	175.9064792176039	0	45	45
1	46	0	207.67173672566372	182.86808628318585	0	46	46
1	47	0	294.98200899550227	188.56521739130434	0	47	47
1	48	0	258.52076923076925	190.96	0	48	48
1	49	0	419.8036398467433	197.42241379310346	0	49	49
1	50	0	329.8533455545371	197.2089825847846	0	50	50
1	51	0	361.47840260798694	201.1442542787286	0	51	51
1	52	0	305.80313199105143	206.55704697986576	0	52	52
1	53	0	408.0487216594308	221.26483357452966	0	53	53
1	54	0	247.8921370967742	222.84375	0	54	54
1	55	0	283.9365415124273	228.61290322580646	0	55	55
1	56	0	26.361856417693982	227.13560551124002	0	56	56
1	57	0	149.42864983534577	226.19429198682766	0	57	57
1	58	0	187.2692607003891	226.09027237354087	0	58	58
1	59	0	228.9448818897638	239.1146106736658	0	59	59
1	60	0	334.7822299651568	234.35801393728224	0	60	60
1	61	0	365.7090163934426	234.4579918032787	0	61	61
1	62	0	309.578	238.122	0	62	62
1	63	0	399.9193798449612	245.25581395348837	0	63	63
1	64	0	203.97993981945837	253.38615847542627	0	64	64
1	65	0	388.5174311926605	262.07064220183486	0	65	65
1	66	0	163.80026109660574	257.1592689295039	0	66	66
1	67	0	254.79190751445086	260.5134874759152	0	67	67
1	68	1	176.3298136645963	280.42670807453413	0	68	68
1	69	0	310.7621407333994	272.6808721506442	0	69	69
1	70	0	350.1206715634837	270.8751311647429	0	70	70
1	71	0	272.5986769570011	280.41455347298785	0	71	71
1	72	0	379.3920619554695	285.30880929332045	0	72	72
1	73	0	216.4357512953368	290.84870466321246	0	73	73
1	74	0	331.12380952380954	296.81142857142856	0	74	74
1	75	0	253.85585585585585	296.07567567567565	0	75	75
1	76	0	362.0164319248826	304.01408450704224	0	76	76
1	77	0	297.7820069204152	313.9838523644752	0	77	77
1	78	0	274.86201550387597	311.88527131782945	0	78	78
1	79	0	318.599700149925	318.53373313343326	0	79	79
1	80	0	223.84240362811792	318.1235827664399	0	80	80
1	81	0	248.72265625	326.0403645833333	0	81	81
1	82	0	161.83082077051927	315.4075935231714	0	82	82
1	83	11	369.7964015151515	327.23674242424244	0	83	83
1	84	0	277.10007942811757	342.08181096108024	0	84	84
1	85	0	340.7587786259542	330.01068702290075	0	85	85
1	86	0	154.04244604316546	345.6748201438849	0	86	86
1	87	0	325.797342192691	349.9390919158361	0	87	87
1	88	0	215.39471855455176	348.2453092425295	0	88	88
1	89	1	364.35638970898356	367.27077182623367	0	89	89
1	90	1	181.3503127792672	358.43521000893656	0	90	90
1	91	0	269.6210847975554	371.66080977845684	0	91	91
1	92	0	239.64773599386032	374.9470452801228	0	92	92
1	93	0	189.31690140845072	387.18591549295775	0	93	93
1	94	0	153.63333333333333	384.1372093023256	0	94	94
1	95	0	310.0039123630673	379.61032863849766	0	95	95
1	96	0	213.54647160068848	392.33390705679864	0	96	96
1	97	0	326.9347581552306	401.30933633295837	0	97	97
1	98	0	127.86508659981769	400.718322698268	0	98	98
1	99	0	292.69082125603865	403.2596618357488	0	99	99
1	100	0	346.47840314136124	414.6910994764398	0	100	100
1	101	0	183.22556390977442	409.31954887218046	0	101	101
1	102	0	268.3669590643275	406.7090643274854	0	102	102
1	103	0	140.97544204322202	426.286836935167	0	103	103
1	104	0	250.12979890310785	412.5612431444241	0	104	104
1	105	0	162.78393351800554	429.93074792243766	0	105	105
1	106	0	181.20710973724883	434.21792890262753	0	106	106
1	107	0	236.75460122699386	425.5725971370143	0	107	107
1	108	0	293.1015625	430.8420138888889	0	108	108
1	109	0	214.25778132482043	430.37749401436554	0	109	109
1	110	0	253.175983436853	437.656314699793	0	110	110
1	111	0	378.17144495412845	433.134747706422	0	111	111
1	112	0	197.03576537911303	453.2560801144492	0	112	112
1	113	0	265.9008403361345	452.85378151260505	0	113	113
1	114	0	301.9204194941394	458.55521283158544	0	114	114
1	115	0	340.3	456.6169642857143	0	115	115
1	116	0	236.27098831030818	463.1934112646121	0	116	116
1	117	0	376.83620096352377	470.58774948382654	0	117	117
1	118	0	178.47180667433832	469.1956271576525	0	118	118
1	119	0	454.90427640894933	468.29878221467004	0	119	119
1	120	0	269.5516129032258	476.06129032258065	0	120	120
1	121	0	339.80116959064327	481.12426900584796	0	121	121
1	122	2	214.01278269419862	483.8308751229105	0	122	122
1	123	16	430.76172465960667	496.0665658093797	0	123	123
1	124	6	487.90410958904107	497.23679060665364	0	124	124
1	125	0	333.6894409937888	496.94875776397515	0	125	125
1	126	0	306.4802065404475	490.39931153184165	0	126	126
1	127	0	177.60012247397427	496.48928352725045	0	127	127
1	128	4	461.09302325581393	497.309481216458	0	128	128
1	129	0	243.04399524375742	492.0784780023781	0	129	129
1	130	0	273.9854510184287	500.3433559650824	0	130	130
1	131	0	369.5176056338028	501.69718309859155	0	131	131
2	1	0	411.88613406795224	10.619834710743802	0	1	1
2	2	0	22.555267702936096	28.228411053540587	0	2	2
2	3	0	175.82187761944678	25.28541492036882	0	3	3
2	4	0	329.841735052755	32.841148886283705	0	4	4
2	5	0	284.7160140082776	34.22222222222222	0	5	5
2	6	0	434.3186119873817	34.70283911671924	0	6	6
2	7	0	391.49064837905235	35.97194513715711	0	7	7
2	8	0	152.4361334867664	40.533947065592635	0	8	8
2	9	0	464.8151320485368	42.630977872947895	0	9	9
2	10	0	114.0187012987013	46.527272727272724	0	10	10
2	11	0	137.38411316648532	64.53754080522307	0	11	11
2	12	0	492.32905198776757	55.66788990825688	0	12	12
2	13	0	370.1917063222298	66.59143439836846	0	13	13
2	14	0	218.1025878003697	61.03280961182995	0	14	14
2	15	0	325.36107382550335	67.01342281879195	0	15	15
2	16	1	403.8553672316384	80.95593220338984	0	16	16
2	17	0	171.59453302961276	74.34092634776006	0	17	17
2	18	0	348.7048567870486	78.70734744707347	0	18	18
2	19	0	449.4787624541164	83.20608285264814	0	19	19
2	20	0	236.52308499475342	90.94123819517314	0	20	20
2	21	0	94.88245125348189	87.3142061281337	0	21	21
2	22	0	299.04442508710804	83.07839721254355	0	22	22
2	23	0	337.1769616026711	96.54090150250417	0	23	23
2	24	0	179.88210526315788	100.99578947368421	0	24	24
2	25	0	424.48505231689086	113.44618834080717	0	25	25
2	26	0	127.84393063583815	102.45664739884393	0	26	26
2	27	0	280.41754385964913	111.18830409356725	0	27	27
2	28	0	382.5898058252427	114.12621359223301	0	28	28
2	29	0	490.98085846867747	117.61252900232019	0	29	29
2	30	0	78.26766304347827	119.62228260869566	0	30	30
2	31	0	326.3305249513934	116.23266364225535	0	31	31
2	32	0	150.18378378378378	124.7081081081081	0	32	32
2	33	0	112.75581395348837	134.1388081395349	0	33	33
2	34	0	51.51628182356424	128.58969804618118	0	34	34
2	35	0	357.5987748851455	130.1531393568147	0	35	35
2	36	17	247.73245901639345	137.29049180327868	0	36	36
2	37	0	458.5770850884583	139.5737152485257	0	37	37
2	38	0	176.30134445989802	146.17107093184978	0	38	38
2	39	0	383.88529411764705	139.75588235294117	0	39	39
2	40	0	323.0798274002158	151.7071197411003	0	40	40
2	41	0	357.1625344352617	162.6542699724518	0	41	41
2	42	2	384.4906580016247	165.36799350121854	0	42	42
2	43	1	203.4874251497006	161.15868263473052	0	43	43
2	44	0	54.260383386581466	162.09424920127796	0	44	44
2	45	0	414.1259899208063	166.9517638588913	0	45	45
2	46	0	502.6864564007421	171.41372912801484	0	46	46
2	47	0	106.04244482173175	171.9490662139219	0	47	47
2	48	0	66.04569190600522	182.92558746736293	0	48	48
2	49	0	475.659509202454	183.55930470347647	0	49	49
2	50	0	281.07139669790274	177.921463632307	0	50	50
2	51	0	228.3131813676908	187.5559960356789	0	51	51
2	52	0	421.6810344827586	192.28793103448277	0	52	52
2	53	0	153.31898340248964	190.4673236514523	0	53	53
2	54	0	318.25162772883954	200.91803906549214	0	54	54
2	55	0	39.268229166666664	207.29129464285714	0	55	55
2	56	0	88.21270718232044	208.4371546961326	0	56	56
2	57	0	453.3409685863874	220.61321989528795	0	57	57
2	58	0	122.52364118426867	224.194874060981	0	58	58
2	59	0	243.43027413587603	223.22586412395708	0	59	59
2	60	0	419.57282282282284	227.14939939939939	0	60	60
2	61	0	358.63110590074245	223.50644783118406	0	61	61
2	62	0	201.48670756646217	226.06134969325154	0	62	62
2	63	0	489.78971255673224	231.91376701966718	0	63	63
2	64	0	168.6713692946058	230.4116182572614	0	64	64
2	65	0	270.2929061784897	240.33318077803204	0	65	65
2	66	0	29.0	240.60692771084337	0	66	66
2	67	0	391.41803865425914	244.46170365068002	0	67	67
2	68	0	74.42142418661756	264.1289134438306	0	68	68
2	69	0	15.486514522821576	260.84854771784234	0	69	69
2	70	0	308.3344134802333	249.59753726506804	0	70	70
2	71	0	165.88702749140893	267.4841065292096	0	71	71
2	72	0	341.1311111111111	268.96222222222224	0	72	72
2	73	0	302.3861607142857	279.890625	0	73	73
2	74	0	208.0628694250403	278.4406233207953	0	74	74
2	75	0	385.4559128630705	278.98288381742736	0	75	75
2	76	0	435.28486543166724	276.3928696260049	0	76	76
2	77	0	16.69377990430622	285.9677033492823	0	77	77
2	78	0	494.739489194499	290.1705304518664	0	78	78
2	79	15	130.8935516888434	283.0051177072671	0	79	79
2	80	0	253.25249500998004	297.55588822355287	0	80	80
2	81	0	325.6135578583765	309.4753886010363	0	81	81
2	82	0	16.119402985074625	318.41248303934873	0	82	82
2	83	0	132.43615384615384	316.9830769230769	0	83	83
2	84	0	377.8760545100584	323.435107073329	0	84	84
2	85	0	59.13286713286713	324.2078477078477	0	85	85
2	86	0	170.63382467028705	328.38673390224983	0	86	86
2	87	0	111.94864341085271	338.0237403100775	0	87	87
2	88	0	77.40969507427678	354.1469898358092	0	88	88
2	89	0	202.305	350.79277777777776	0	89	89
2	90	0	315.87339569284313	366.0696106156189	0	90	90
2	91	0	108.6126984126984	379.7650793650794	0	91	91
2	92	0	21.21343711593609	383.960262187628	0	92	92
2	93	0	191.03359683794466	390.19400527009225	0	93	93
2	94	0	394.22475856014046	391.39244951712027	0	94	94
2	95	1	145.1094619666048	419.46938775510205	0	95	95
2	96	0	105.1427432216906	413.4872408293461	0	96	96
2	97	0	429.72727272727275	410.74583333333334	0	97	97
2	98	0	65.40180722891566	408.8325301204819	0	98	98
2	99	1	317.4550803349174	422.58203213396695	0	99	99
2	100	0	385.673489765352	427.7778332501248	0	100	100
2	101	0	502.5775347912525	422.993041749503	0	101	101
2	102	0	46.685424873382104	439.0951041080473	0	102	102
2	103	0	90.25851703406813	441.311623246493	0	103	103
2	104	0	474.08760890609875	433.4762826718296	0	104	104
2	105	0	14.842287694974004	462.99768919699596	0	105	105
2	106	0	201.1793394777266	455.11443932411674	0	106	106
2	107	0	104.85452526374236	463.9916712937257	0	107	107
2	108	0	337.1178476695718	468.26335733232287	0	108	108
2	109	0	255.5091441111924	475.71762984637894	0	109	109
2	110	0	412.5900205761317	479.076646090535	0	110	110
2	111	0	48.16637010676157	487.125	0	111	111
2	112	0	167.1770573566085	485.45187032418954	0	112	112
2	113	16	452.92985971943887	477.60881763527055	0	113	113
2	114	0	130.37121721587087	489.94687289845325	0	114	114
2	115	10	483.49775784753365	497.1543882126842	0	115	115
2	116	0	379.3567961165049	492.58373786407765	0	116	116
2	117	0	89.67723102585488	498.0283569641368	0	117	117
2	118	0	204.42028985507247	500.6811594202899	0	118	118
3	1	0	295.18333333333334	7.973611111111111	0	1	1
3	2	0	401.30536912751677	11.01258389261745	0	2	2
3	3	0	333.19186652763295	12.283628779979145	0	3	3
3	4	0	279.20919540229886	21.858620689655172	0	4	4
3	5	0	438.0827118644068	22.050847457627118	0	5	5
3	6	0	215.5749452954048	35.30169584245077	0	6	6
3	7	0	361.12782440284053	26.613298902517755	0	7	7
3	8	0	314.7467438494935	32.36758321273517	0	8	8
3	9	0	497.29689608636977	32.0310391363023	0	9	9
3	10	0	257.50787401574803	35.68740157480315	0	10	10
3	11	0	467.64263645726055	32.26622039134912	0	11	11
3	12	0	392.2217391304348	43.28586956521739	0	12	12
3	13	0	290.2910512597741	55.30842745438749	0	13	13
3	14	0	366.85185185185185	52.68191721132898	0	14	14
3	15	0	327.8633308439134	58.82972367438387	0	15	15
3	16	0	421.35014326647564	58.11518624641834	0	16	16
3	17	0	495.33140283140284	78.8970398970399	0	17	17
3	18	0	252.01212686567163	69.86753731343283	0	18	18
3	19	0	377.2662601626016	73.26829268292683	0	19	19
