ImageNumber	ObjectNumber	Children_PLA_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Nuclei
1	1	12	342.6401752190238	17.22340425531915	0	1	1
1	2	45	61.65780403741999	19.4027572624323	0	2	2
1	3	28	178.53018736988201	20.827897293546147	0	3	3
1	4	23	218.59194776931446	23.156692056583243	0	4	4
1	5	21	393.61372064276884	38.218170580964156	0	5	5
1	6	16	238.90306748466259	36.061349693251536	0	6	6
1	7	30	149.25860904794058	39.835921674544224	0	7	7
1	8	47	204.4930693069307	53.67194719471947	0	8	8
1	9	18	252.2297756628144	59.87015635622026	0	9	9
1	10	14	182.04354971240755	75.5127362366475	0	10	10
1	11	46	124.4418158567775	76.47634271099744	0	11	11
1	12	21	159.84191176470588	80.57475490196079	0	12	12
1	13	18	408.72340425531917	81.34124386252046	0	13	13
1	14	27	145.43047619047618	102.5104761904762	0	14	14
1	15	54	475.3735151781786	98.51385833699956	0	15	15
1	16	16	412.6390205371248	108.94154818325434	0	16	16
1	17	23	207.29407461594732	105.7710314557425	0	17	17
1	18	60	274.27189141856394	115.99080560420315	0	18	18
1	19	18	447.33104500381387	124.27078565980167	0	19	19
1	20	21	176.44633972992182	125.59701492537313	0	20	20
1	21	14	422.32191780821915	146.30365296803652	0	21	21
1	22	27	204.4772382397572	146.01593323216994	0	22	22
1	23	38	383.33469387755105	153.23795918367347	0	23	23
1	24	41	256.4068367838228	155.57101588830042	0	24	24
1	25	14	225.4732370433305	169.15208156329652	0	25	25
1	26	19	158.7343300747556	178.90626797009776	0	26	26
1	27	38	490.39428571428573	197.48171428571428	0	27	27
1	28	23	295.0528211284514	216.6590636254502	0	28	28
1	29	20	407.14268366727384	223.9799635701275	0	29	29
1	30	21	389.40188806473367	258.5677680377613	0	30	30
1	31	20	419.1076658053402	274.30060292850993	0	31	31
1	32	51	129.3854511100614	276.8171941426547	0	32	32
1	33	29	334.94367816091955	281.1218390804598	0	33	33
1	34	26	446.8196721311475	282.9016393442623	0	34	34
1	35	20	426.5356550580431	323.4355997788834	0	35	35
1	36	12	491.49096167751264	344.98553868402024	0	36	36
1	37	21	466.4172494172494	369.3659673659674	0	37	37
1	38	23	492.61406844106466	386.2376425855513	0	38	38
1	39	26	471.0274223034735	411.19744058500913	0	39	39
1	40	6	503.50142857142856	415.37285714285713	0	40	40
1	41	17	431.7268011527378	415.46109510086455	0	41	41
1	42	17	479.0638036809816	436.6134969325153	0	42	42
1	43	25	447.5427170868347	452.44257703081234	0	43	43
1	44	14	481.8050847457627	463.1553672316384	0	44	44
1	45	14	501.3775055679287	475.2360801781737	0	45	45
