ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Cells
1	1	231.0	213.0	0	1	54
1	2	434.5	483.0	0	2	117
1	3	439.0	483.0	0	3	117
1	4	448.85714285714283	483.57142857142856	0	4	121
1	5	452.57142857142856	484.4761904761905	0	5	121
1	6	446.90909090909093	485.54545454545456	0	6	121
1	7	434.3333333333333	487.1666666666667	0	7	117
1	8	486.5769230769231	487.7692307692308	0	8	119
1	9	492.57142857142856	487.42857142857144	0	9	119
1	10	473.5	488.5	0	10	122
1	11	480.89473684210526	487.57894736842104	0	11	119
1	12	447.08	488.88	0	12	121
1	13	453.14814814814815	489.0740740740741	0	13	121
1	14	466.5	488.5	0	14	122
1	15	438.8125	489.625	0	15	117
1	16	450.0	491.5	0	16	121
1	17	480.5	493.0	0	17	122
1	18	494.0	493.0	0	18	119
1	19	440.35714285714283	492.92857142857144	0	19	117
1	20	487.5	493.5	0	20	119
1	21	447.3809523809524	493.42857142857144	0	21	121
1	22	452.75	493.45	0	22	121
1	23	473.17391304347825	494.0	0	23	122
1	24	434.0	495.3333333333333	0	24	117
1	25	438.85714285714283	495.2857142857143	0	25	117
1	26	467.4230769230769	494.2307692307692	0	26	122
1	27	436.5	496.0	0	27	117
1	28	450.0	495.5	0	28	121
1	29	466.4117647058824	498.3529411764706	0	29	122
2	1	190.0	277.0	0	1	68
2	2	434.4	483.4	0	2	105
2	3	439.0	483.0	0	3	111
2	4	452.12	484.2	0	4	111
2	5	447.53846153846155	485.2307692307692	0	5	111
2	6	434.4	487.6	0	6	105
2	7	450.0	487.5	0	7	111
2	8	486.57142857142856	487.42857142857144	0	8	109
2	9	492.57142857142856	487.42857142857144	0	9	109
2	10	480.77777777777777	488.44444444444446	0	10	109
2	11	446.77777777777777	489.5	0	11	111
2	12	453.4	489.04	0	12	111
2	13	466.5	488.5	0	13	109
2	14	473.5	488.5	0	14	109
2	15	438.8125	489.625	0	15	111
2	16	450.0	490.0	0	16	111
2	17	450.0	492.0	0	17	111
2	18	487.5882352941176	491.6470588235294	0	18	109
2	19	494.0	493.0	0	19	109
2	20	440.35714285714283	492.92857142857144	0	20	111
2	21	447.35	493.3	0	21	111
2	22	452.7894736842105	493.3157894736842	0	22	111
2	23	473.17391304347825	494.0	0	23	109
2	24	487.3636363636364	495.09090909090907	0	24	109
2	25	438.85714285714283	495.2857142857143	0	25	111
2	26	467.0232558139535	495.86046511627904	0	26	109
2	27	480.5	494.0	0	27	109
2	28	434.54545454545456	495.6363636363636	0	28	111
2	29	437.0	496.0	0	29	111
2	30	450.0	495.6	0	30	111
3	1	372.0	102.0	0	1	32
3	2	215.0	180.0	0	2	45
3	3	27.0	187.0	0	3	43
3	4	16.0	191.0	0	4	43
3	5	174.0	311.0	0	5	70
3	6	434.4	483.4	0	6	98
3	7	438.0	483.0	0	7	98
3	8	440.5	483.0	0	8	98
3	9	448.85714285714283	483.57142857142856	0	9	99
3	10	452.4375	483.9375	0	10	99
3	11	446.90909090909093	485.54545454545456	0	11	99
3	12	434.4	487.6	0	12	98
3	13	450.0	487.0	0	13	99
3	14	486.57142857142856	487.42857142857144	0	14	100
3	15	492.57142857142856	487.42857142857144	0	15	100
3	16	466.5	488.5	0	16	101
3	17	480.82608695652175	488.0	0	17	100
3	18	446.82608695652175	489.0	0	18	99
3	19	453.030303030303	488.6060606060606	0	19	99
3	20	473.5	488.5	0	20	101
3	21	438.8125	489.625	0	21	98
3	22	450.0	491.5	0	22	99
3	23	494.0	493.0	0	23	100
3	24	440.35714285714283	492.92857142857144	0	24	98
3	25	480.5	493.5	0	25	100
3	26	487.5	493.0	0	26	100
3	27	447.35	493.3	0	27	99
3	28	452.7894736842105	493.3157894736842	0	28	99
3	29	473.17391304347825	494.0	0	29	101
3	30	439.2	495.2	0	30	98
3	31	467.0232558139535	495.86046511627904	0	31	101
3	32	434.54545454545456	495.6363636363636	0	32	98
3	33	437.4	495.8	0	33	98
3	34	450.0	495.6	0	34	99
