ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Cells
1	1	345.0	72.0	0	1	13
1	2	347.0	79.5	0	2	25
1	3	355.5	80.0	0	3	25
1	4	349.5	81.5	0	4	25
1	5	354.0	81.0	0	5	25
1	6	347.5	82.0	0	6	25
1	7	356.625	82.75	0	7	25
1	8	347.0	84.0	0	8	25
1	9	350.0	84.0	0	9	25
1	10	354.85714285714283	84.28571428571429	0	10	25
1	11	358.0	85.0	0	11	25
1	12	349.1111111111111	87.44444444444444	0	12	25
1	13	356.0	88.0	0	13	25
1	14	351.0	89.0	0	14	25
1	15	358.5	88.5	0	15	25
1	16	353.0	89.0	0	16	25
1	17	350.89473684210526	92.36842105263158	0	17	25
1	18	359.0	91.0	0	18	25
1	19	360.4	93.8	0	19	25
1	20	354.0	94.0	0	20	25
1	21	356.0	95.0	0	21	25
1	22	353.1	96.3	0	22	25
1	23	359.0	97.0	0	23	25
1	24	361.75	97.0	0	24	25
1	25	354.5	98.5	0	25	25
1	26	356.0	98.5	0	26	25
1	27	357.75	98.875	0	27	25
1	28	361.0	99.0	0	28	25
1	29	355.5	100.5	0	29	25
1	30	357.0	101.0	0	30	25
1	31	359.6666666666667	101.33333333333333	0	31	25
1	32	362.0	102.0	0	32	25
1	33	357.0	102.5	0	33	25
1	34	360.29411764705884	103.58823529411765	0	34	25
1	35	363.0	105.0	0	35	25
1	36	364.0	107.0	0	36	25
1	37	363.0	110.0	0	37	34
1	38	365.6666666666667	110.33333333333333	0	38	34
1	39	369.0	115.25	0	39	34
1	40	371.22222222222223	118.44444444444444	0	40	34
1	41	372.5	121.0	0	41	34
1	42	376.0	126.0	0	42	33
1	43	202.0	278.0	0	43	68
1	44	360.0	315.0	0	44	83
1	45	357.0	315.5	0	45	83
1	46	362.0	316.0	0	46	83
1	47	362.0	325.0	0	47	83
1	48	353.0	327.0	0	48	83
1	49	357.0	327.0	0	49	83
1	50	371.0	330.0	0	50	83
1	51	370.0	334.0	0	51	83
1	52	374.0	335.0	0	52	83
1	53	363.5	338.0	0	53	83
1	54	365.0	338.0	0	54	83
1	55	165.0	364.0	0	55	90
1	56	368.0	377.0	0	56	89
1	57	218.0	473.0	0	57	122
1	58	220.0	474.0	0	58	122
1	59	428.0	483.0	0	59	123
1	60	432.5	483.0	0	60	123
1	61	442.0	483.1	0	61	123
1	62	445.4375	483.9375	0	62	123
1	63	440.60869565217394	486.0869565217391	0	63	123
1	64	427.3333333333333	487.1666666666667	0	64	123
1	65	479.72	487.84	0	65	124
1	66	485.57142857142856	487.42857142857144	0	66	124
1	67	459.5	488.5	0	67	128
1	68	473.82608695652175	488.0	0	68	124
1	69	439.77777777777777	489.5	0	69	123
1	70	446.3333333333333	488.56666666666666	0	70	123
1	71	466.5	488.5	0	71	128
1	72	431.8125	489.625	0	72	123
1	73	487.0	493.0	0	73	124
1	74	433.53846153846155	492.9230769230769	0	74	123
1	75	473.5	493.5	0	75	124
1	76	480.5	493.5	0	76	124
1	77	440.7083333333333	493.125	0	77	123
1	78	445.75	493.45	0	78	123
1	79	466.17391304347825	494.0	0	79	128
1	80	431.85714285714283	495.2857142857143	0	80	123
1	81	460.0232558139535	495.86046511627904	0	81	128
1	82	427.54545454545456	495.6363636363636	0	82	123
1	83	430.0	496.0	0	83	123
1	84	443.0	495.5	0	84	123
2	1	414.0	74.0	0	1	16
2	2	235.0	116.0	0	2	36
2	3	238.0	123.0	0	3	36
2	4	252.0	125.0	0	4	36
2	5	233.0	128.0	0	5	36
2	6	244.0	129.0	0	6	36
2	7	240.33333333333334	130.33333333333334	0	7	36
2	8	237.0	135.0	0	8	36
2	9	268.0	137.0	0	9	36
2	10	237.0	140.5	0	10	36
2	11	270.0	143.0	0	11	36
2	12	242.0	144.0	0	12	36
2	13	254.0	147.0	0	13	36
2	14	256.0	147.0	0	14	36
