ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Cells	Parent_Nuclei
1	1	112.0	26.0	0	1	9	0
1	2	10.0	189.0	0	2	66	0
1	3	330.0	250.0	0	3	78	78
1	4	71.0	252.0	0	4	77	0
1	5	197.0	272.0	0	5	82	82
1	6	222.0	287.0	0	6	104	0
1	7	371.5	296.0	0	7	97	0
1	8	379.0	312.5	0	8	97	97
1	9	203.0	327.0	0	9	121	121
1	10	93.0	352.0	0	10	125	0
1	11	233.0	429.0	0	11	158	0
1	12	169.0	486.0	0	12	187	0
2	1	180.0	0.0	0	1	5	5
2	2	183.0	0.5	0	2	5	5
2	3	187.5	0.25	0	3	5	5
2	4	194.25	0.25	0	4	5	5
2	5	201.61111111111111	1.0	0	5	5	5
2	6	190.5	2.0	0	6	5	5
2	7	194.0	2.0	0	7	5	5
2	8	197.375	1.25	0	8	5	5
2	9	376.0	162.0	0	9	86	0
2	10	57.0	204.0	0	10	104	104
2	11	265.0	235.0	0	11	120	120
2	12	197.0	248.0	0	12	125	125
2	13	142.0	259.0	0	13	124	124
2	14	213.5	264.0	0	14	140	140
2	15	222.0	267.0	0	15	140	0
2	16	315.0	290.0	0	16	143	0
2	17	261.0	319.0	0	17	164	164
2	18	261.0	322.3333333333333	0	18	164	164
2	19	409.0	359.0	0	19	192	192
2	20	410.0	373.0	0	20	192	192
2	21	228.0	412.0	0	21	204	0
2	22	348.0	416.0	0	22	219	219
2	23	219.0	465.0	0	23	235	0
3	1	66.0	56.0	0	1	29	0
3	2	450.0	174.0	0	2	87	87
3	3	242.0	186.0	0	3	88	88
3	4	210.0	192.0	0	4	97	97
3	5	447.6666666666667	195.66666666666666	0	5	93	0
3	6	72.0	238.0	0	6	116	116
3	7	408.0	261.0	0	7	124	124
3	8	448.3333333333333	291.3333333333333	0	8	151	151
3	9	221.5	297.0	0	9	138	138
3	10	291.0	300.0	0	10	147	147
3	11	241.0	305.0	0	11	149	0
3	12	322.0	344.0	0	12	170	0
3	13	130.0	357.0	0	13	180	0
3	14	101.0	445.0	0	14	229	0
