ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Cells
1	1	95.5	0.0	0	1	0
1	2	109.0	0.0	0	2	0
1	3	121.0	0.0	0	3	0
1	4	123.0	0.0	0	4	0
1	5	154.0	0.0	0	5	0
1	6	185.0	0.0	0	6	3
1	7	188.5	0.5	0	7	0
1	8	323.0	0.0	0	8	0
1	9	376.0	0.0	0	9	0
1	10	423.3333333333333	0.6666666666666666	0	10	0
1	11	106.0	1.0	0	11	0
1	12	114.0	1.0	0	12	0
1	13	143.0	1.0	0	13	0
1	14	187.0	1.0	0	14	3
1	15	409.0	1.0	0	15	0
1	16	417.0	1.0	0	16	0
1	17	94.0	2.0	0	17	0
1	18	118.75	2.0	0	18	0
1	19	146.0	2.0	0	19	0
1	20	63.0	3.3333333333333335	0	20	2
1	21	193.0	3.0	0	21	0
1	22	331.6666666666667	3.3333333333333335	0	22	1
1	23	409.0	3.0	0	23	0
1	24	108.5	4.0	0	24	0
1	25	110.0	4.0	0	25	0
1	26	148.0	4.0	0	26	0
1	27	191.0	4.0	0	27	3
1	28	290.0	4.0	0	28	0
1	29	46.0	5.5	0	29	2
1	30	49.5	5.0	0	30	2
1	31	64.0	5.0	0	31	2
1	32	311.3333333333333	5.333333333333333	0	32	0
1	33	351.5	5.0	0	33	1
1	34	393.0	5.0	0	34	0
1	35	54.0	6.333333333333333	0	35	2
1	36	65.66666666666667	5.333333333333333	0	36	2
1	37	56.0	7.0	0	37	2
1	38	370.0	7.0	0	38	0
1	39	396.6666666666667	7.666666666666667	0	39	0
1	40	38.0	8.0	0	40	2
1	41	46.5	8.5	0	41	2
1	42	51.5	8.0	0	42	2
1	43	69.0	8.0	0	43	2
1	44	355.0	8.0	0	44	1
1	45	44.0	9.0	0	45	2
1	46	62.0	9.0	0	46	2
1	47	80.5	9.0	0	47	2
1	48	195.5	9.0	0	48	3
1	49	369.6666666666667	9.666666666666666	0	49	0
1	50	411.5	9.0	0	50	0
1	51	151.0	10.0	0	51	0
1	52	168.2	10.8	0	52	3
1	53	170.5	10.0	0	53	3
1	54	181.0	10.0	0	54	3
1	55	202.5	10.0	0	55	0
1	56	340.0	10.0	0	56	1
1	57	348.0	10.0	0	57	1
1	58	373.0	10.0	0	58	0
1	59	45.0	11.0	0	59	2
1	60	58.4	10.8	0	60	2
1	61	77.0	11.5	0	61	2
1	62	148.0	11.0	0	62	0
1	63	396.5	11.5	0	63	0
1	64	26.0	12.0	0	64	0
1	65	144.0	12.0	0	65	0
1	66	242.0	12.0	0	66	0
1	67	344.5	12.0	0	67	1
1	68	412.5	12.0	0	68	0
1	69	174.0	13.333333333333334	0	69	3
1	70	332.5	13.0	0	70	1
1	71	44.0	14.0	0	71	2
1	72	47.0	14.0	0	72	2
1	73	78.0	14.0	0	73	2
1	74	353.5	14.0	0	74	1
1	75	17.0	15.0	0	75	0
1	76	39.0	15.0	0	76	2
1	77	48.5	15.0	0	77	2
1	78	70.0	15.0	0	78	2
1	79	73.5	15.0	0	79	2
1	80	149.0	15.0	0	80	0
1	81	187.0	16.0	0	81	3
1	82	244.0	16.0	0	82	0
1	83	342.0	16.0	0	83	1
1	84	375.5	16.0	0	84	0
1	85	43.5	17.0	0	85	2
1	86	49.0	17.5	0	86	2
1	87	74.0	17.0	0	87	2
1	88	216.0	17.0	0	88	4
1	89	222.0	17.0	0	89	4
1	90	228.0	17.0	0	90	4
1	91	7.0	18.0	0	91	0
1	92	55.0	17.75	0	92	2
1	93	182.5	18.0	0	93	3
1	94	218.33333333333334	17.666666666666668	0	94	4
